Title,Tags
Development Location:,9 & 11  KING ALBERT PARK SINGAPORE 598332
MC Address:,"9 & 11 KING ALBERT PARK
#01-72 KAP & KAP RESIDENCES
 SINGAPORE 598332"
MC Contact No.:,9815 2461
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,91991582
MCST No:,4535
UEN:,T17MC0053C
Date of MC Constitution:,05/07/2017
Development Name:,THE AMORE
Status:,Active
Development Location:,53 EDGEDALE PLAINS SINGAPORE 828692
MC Address:,"53 EDGEDALE PLAINS
#B1-01 THE AMORE
 SINGAPORE 828692"
MC Contact No.:,64816743
Name of Managing Agent:,Knight Frank Property Asset Management Pte Ltd
Managing Agent Contact No.:,68485678
MCST No:,4536
UEN:,T17MC0058E
Date of MC Constitution:,14/07/2017
Development Name:,JEWEL @ BUANGKOK
Status:,Active
Development Location:,81 COMPASSVALE BOW SINGAPORE 544823
MC Address:,"93 COMPASSVALE BOW
#B2- JEWEL @ BUANGKOK
 SINGAPORE 544689"
MC Contact No.:,63126430
Name of Managing Agent:,Colliers International Consultancy & Valuation (S) Pte Ltd
Managing Agent Contact No.:,63126430
MCST No:,4537
UEN:,T17MC0078D
Date of MC Constitution:,12/09/2017
Development Name:,Goodwood Grand
Status:,Active
Development Location:,16 BALMORAL ROAD SINGAPORE 259802
MC Address:,"16 BALMORAL ROAD
#10-01 GOODWOOD GRAND
 SINGAPORE 258902"
MC Contact No.:,81883162
Name of Managing Agent:,Savills Property Management Pte Ltd
Managing Agent Contact No.:,6736 8147
MCST No:,4539
UEN:,T17MC0074J
Date of MC Constitution:,29/08/2017
Development Name:,6 DERBYSHIRE
Status:,Active
Development Location:,6 DERBYSHIRE ROAD SINGAPORE 309462
MC Address:,"6 DERBYSHIRE ROAD
#06-07 DERBYSHIRE ROAD
 SINGAPORE 309462"
MC Contact No.:,62649241
Name of Managing Agent:,SMART PROPERTY MANAGEMENT (S) PTE LTD
Managing Agent Contact No.:,62230169
MCST No:,4540
UEN:,T17MC0090B
Date of MC Constitution:,20/10/2017
Development Name:,THE WHITLEY RESIDENCES
Status:,Active
Development Location:,141 WHITLEY ROAD SINGAPORE 297702
MC Address:,"141 WHITLEY ROAD
THE WHITLEY RESIDENCES
 SINGAPORE 297702"
MC Contact No.:,
Name of Managing Agent:,1 Property Asset Management Pte Ltd
Managing Agent Contact No.:,94248354
MCST No:,4541
UEN:,T17MC0088J
Date of MC Constitution:,05/10/2017
Development Name:,VA RESIDENCES
Status:,Active
Development Location:,9 BOON TECK ROAD SINGAPORE 329583
MC Address:,"9 BOON TECK ROAD
#02-01 VA RESIDENCES
 SINGAPORE 329583"
MC Contact No.:,67026018
Name of Managing Agent:,Absolut Properties Pte Ltd
Managing Agent Contact No.:,67026018
MCST No:,4542
UEN:,T17MC0056B
Date of MC Constitution:,10/07/2017
Development Name:,MARINE BLUE
Status:,Active
Development Location:,81 MARINE PARADE ROAD SINGAPORE 449309
MC Address:,"93 MARINE PARADE ROAD
#00-00 MARINE BLUE
 SINGAPORE 449315"
MC Contact No.:,63441431
Name of Managing Agent:,Ace Decision Facilities Management Pte Ltd
Managing Agent Contact No.:,87877809
MCST No:,4544
UEN:,T17MC0103B
Date of MC Constitution:,06/12/2017
Development Name:,BELLEWOODS
Status:,Active
Development Location:,124 WOODLANDS AVENUE 5 SINGAPORE 739022
MC Address:,"124 WOODLANDS AVENUE 5
BELLEWOODS EXECUTIVE CONDOMINIUM
 SINGAPORE 739022"
MC Contact No.:,6891 0361
Name of Managing Agent:,CWL Facilities Management Pte Ltd
Managing Agent Contact No.:,68910357
MCST No:,4545
UEN:,T18MC0044K
Date of MC Constitution:,30/07/2018
Development Name:,THE RED HOUSE
Status:,Active
Development Location:,63 EAST COAST ROAD SINGAPORE 428776
MC Address:,"63 EAST COAST ROAD
#01-07 THE RED HOUSE
 SINGAPORE 428776"
MC Contact No.:,98161900
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,98161900
MCST No:,4546
UEN:,T17MC0070C
Date of MC Constitution:,16/08/2017
Development Name:,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 4546
Status:,Active
Development Location:,11 CAIRNHILL ROAD SINGAPORE 229724
MC Address:,"11 CAIRNHILL ROAD
#04-01 CAIRNHILL NINE
 SINGAPORE 229724"
MC Contact No.:,67343847
Name of Managing Agent:,Ace Decision Facilities Management Pte Ltd
Managing Agent Contact No.:,87877809
MCST No:,4547
UEN:,T17MC0073B
Date of MC Constitution:,25/08/2017
Development Name:,J GATEWAY
Status:,Active
Development Location:,2 GATEWAY DRIVE SINGAPORE 608533
MC Address:,"4 GATEWAY DRIVE
J GATEWAY
 SINGAPORE 608534"
MC Contact No.:,62548936
Name of Managing Agent:,Knight Frank Property Asset Management Pte Ltd
Managing Agent Contact No.:,96644868
MCST No:,4548
UEN:,T17MC0081D
Date of MC Constitution:,18/09/2017
Development Name:,The star
Status:,Active
Development Location:,1 VISTA EXCHANGE GREEN SINGAPORE 138617
MC Address:,"1 VISTA EXCHANGE GREEN
#04-01 THE STAR
 SINGAPORE 138617"
MC Contact No.:,6771 7555
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4549
UEN:,T17MC0111D
Date of MC Constitution:,27/12/2017
Development Name:,PS 100
Status:,Active
Development Location:,PS100 PECK SEAH STREET SINGAPORE 079333
MC Address:,"100 PECK SEAH STREET
#01-03 PS100
 SINGAPORE 079333"
MC Contact No.:,63851596
Name of Managing Agent:,CBRE Pte Ltd
Managing Agent Contact No.:,63851428
MCST No:,454x
UEN:,T17SM0010A
Date of MC Constitution:,18/09/2017
Development Name:,The star
Status:,Active
Development Location:,
MC Address:,"1 VISTA EXCHANGE GREEN
04-01 
 SINGAPORE 138617"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4550
UEN:,T17MC0082L
Date of MC Constitution:,19/09/2017
Development Name:,LLOYD SIXTYFIVE
Status:,Active
Development Location:,65 LLOYD ROAD SINGAPORE 239114
MC Address:,"163 GEYLANG ROAD
#04-01 THE GRANDPLUS
 SINGAPORE 389240"
MC Contact No.:,67356255
Name of Managing Agent:,AV Consultants Pte Ltd
Managing Agent Contact No.:,67356255
MCST No:,4551
UEN:,T18MC0089K
Date of MC Constitution:,21/12/2018
Development Name:,PARK 1 SUITES
Status:,Active
Development Location:,8 LORONG 40 GEYLANG SINGAPORE 398054
MC Address:,"8 LORONG 40 GEYLANG
PARK 1 SUITES
 SINGAPORE 398054"
MC Contact No.:,9853 4633
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,6223 0169
MCST No:,4552
UEN:,T17MC0096L
Date of MC Constitution:,06/11/2017
Development Name:,Ritz @Farrer
Status:,Active
Development Location:,142  RACE COURSE ROAD SINGAPORE 218593
MC Address:,"38C JALAN PEMIMPIN
#03-01 BOSCH BUILDING 
 SINGAPORE 577180"
MC Contact No.:,62230169
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,62230169
MCST No:,4553
UEN:,T17MC0055F
Date of MC Constitution:,05/07/2017
Development Name:,HILL V 2 / THE HILLIER
Status:,Active
Development Location:,4 HILLVIEW RISE SINGAPORE 667979
MC Address:,"4 HILLVIEW RISE
#01-17 HILL V 2 / THE HILLIER
 SINGAPORE 667979"
MC Contact No.:,64685100
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4554
UEN:,T17MC0067C
Date of MC Constitution:,08/03/2017
Development Name:,SINGAPORE BUSINESS FEDERATION CENTER
Status:,Active
Development Location:,160 ROBINSON ROAD SINGAPORE 068914
MC Address:,"160 ROBINSON ROAD
#B1-01 SBF CENTER
 SINGAPORE 068914"
MC Contact No.:,63842993
Name of Managing Agent:,CBRE Pte Ltd
Managing Agent Contact No.:,63842993
MCST No:,4555
UEN:,T18MC0055L
Date of MC Constitution:,15/08/2018
Development Name:,HILLION MALL / HILLION RESIDENCES
Status:,Active
Development Location:,17 PETIR ROAD SINGAPORE 678278
MC Address:,"17 PETIR ROAD
#B1-67 HILLION MALL / HILLION RESIDENCES
 SINGAPORE 678278"
MC Contact No.:,62230169
Name of Managing Agent:,SMART PROPERTY MANAGEMENT (SINGAPORE) PTE LTD
Managing Agent Contact No.:,62230169
MCST No:,4556
UEN:,T17MC0089E
Date of MC Constitution:,20/10/2017
Development Name:,LAKEVILLE
Status:,Active
Development Location:,
MC Address:,
MC Contact No.:,62662231
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4557
UEN:,T18MC0018A
Date of MC Constitution:,24/02/2018
Development Name:,LAKE LIFE
Status:,Active
Development Location:,2 TAO CHING ROAD SINGAPORE 618721
MC Address:,"8 TAO CHING ROAD
#01-15 LAKE LIFE
 SINGAPORE 618724"
MC Contact No.:,62663818
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,62230169
MCST No:,4558
UEN:,T17MC0080H
Date of MC Constitution:,15/09/2017
Development Name:,KATONG GEM (Terminated)
Status:,Terminated
Development Location:,
MC Address:,"60 KAKI BUKIT PLACE
02-10 
 SINGAPORE 415979"
MC Contact No.:,64411184
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4559
UEN:,T18MC0006D
Date of MC Constitution:,16/01/2018
Development Name:,THE TERRACE
Status:,Active
Development Location:,80 EDGEDALE PLAINS SINGAPORE 828735
MC Address:,"82 EDGEDALE PLAINS
#B1-07 THE TERRACE
 SINGAPORE 828736"
MC Contact No.:,6312 6877
Name of Managing Agent:,Abacus Property Management Pte Ltd
Managing Agent Contact No.:,65111811
MCST No:,4560
UEN:,T17MC0077H
Date of MC Constitution:,07/09/2017
Development Name:,Carros Centre
Status:,Active
Development Location:,60 JALAN LAM HUAT SINGAPORE 737869
MC Address:,"60 JALAN LAM HUAT
#01-40 CARROS CENTRE
 SINGAPORE 737869"
MC Contact No.:,63624100
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,6362 4200
MCST No:,4561
UEN:,T17MC0086F
Date of MC Constitution:,22/09/2017
Development Name:,SEA HORIZON
Status:,Active
Development Location:,1 Pasir Ris Rise SINGAPORE 518080
MC Address:,"3 Pasir Ris Rise
#02-08 SEA HORIZON
 SINGAPORE 518081"
MC Contact No.:,63867610
Name of Managing Agent:,Empire City Consultant Pte Ltd
Managing Agent Contact No.:,63861670
MCST No:,4563
UEN:,T18MC0051E
Date of MC Constitution:,08/08/2018
Development Name:,Hexacube @ Changi
Status:,Active
Development Location:,160 CHANGI ROAD SINGAPORE 419728
MC Address:,"160 CHANGI ROAD
#01-13 HEXCUBE @ CHANGI
 SINGAPORE 419728"
MC Contact No.:,67423515
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,67423515
MCST No:,4564
UEN:,T18MC0061K
Date of MC Constitution:,14/09/2018
Development Name:,SIGNATURE AT YISHUN
Status:,Active
Development Location:,21 YISHUN STREET 51 SINGAPORE 768085
MC Address:,"27 YISHUN STREET 51
#01-13 SIGNATURE AT YISHUN
 SINGAPORE 768088"
MC Contact No.:,62578030
Name of Managing Agent:,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd)
Managing Agent Contact No.:,62555652
MCST No:,4565
UEN:,T18MC0021A
Date of MC Constitution:,22/03/2018
Development Name:,3 ORCHARD BY-THE-PARK
Status:,Active
Development Location:,3 ORCHARD BOULEVARD SINGAPORE 248653
MC Address:,"3 ORCHARD BOULEVARD
#01-03 3 ORCHARD BY-THE-PARK 
 SINGAPORE 248653"
MC Contact No.:,62352623
Name of Managing Agent:,Jones Lang LaSalle Property Consultants Pte Ltd
Managing Agent Contact No.:,62352623
MCST No:,4566
UEN:,T17MC0092E
Date of MC Constitution:,24/10/2017
Development Name:,AMBER SKYE
Status:,Active
Development Location:,8 AMBER ROAD SINGAPORE 439853
MC Address:,"8 AMBER ROAD
#01-02 AMBER SKYE
 SINGAPORE 439853"
MC Contact No.:,63866570
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4567
UEN:,T17MC0091J
Date of MC Constitution:,23/10/2017
Development Name:,THE GLADES
Status:,Active
Development Location:,2 BEDOK RISE SINGAPORE 469597
MC Address:,"14 BEDOK RISE
#N.A- THE GLADES
 SINGAPORE 465408"
MC Contact No.:,64433886
Name of Managing Agent:,Wisely 98 Pte Ltd
Managing Agent Contact No.:,62915355
MCST No:,4568
UEN:,T17MC0099K
Date of MC Constitution:,20/11/2017
Development Name:,THE VENUE RESIDENCES AND THE VENUE SHOPPES
Status:,Active
Development Location:,4 TAI THONG CRESCENT SINGAPORE 347838
MC Address:,"4 TAI THONG CRESCENT
THE VENUE RESIDENCES/SHOPPES
 SINGAPORE 347838"
MC Contact No.:,63869780
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4569
UEN:,T18MC0011G
Date of MC Constitution:,02/02/2018
Development Name:,LOTUS VILLE
Status:,Active
Development Location:,142L LORONG L TELOK KURAU SINGAPORE 423373
MC Address:,"142L LORONG L TELOK KURAU
#01-00 LOTUS VILLE
 SINGAPORE 423373"
MC Contact No.:,61004177
Name of Managing Agent:,Olympian Property Management Pte Ltd
Managing Agent Contact No.:,
MCST No:,4570
UEN:,T18MC0010L
Date of MC Constitution:,31/01/2018
Development Name:,THE INDEX
Status:,Active
Development Location:,110  TUAS SOUTH AVENUE 3 SINGAPORE 637369
MC Address:,"110  TUAS SOUTH AVENUE 3
#01-60 THE INDEX
 SINGAPORE 637369"
MC Contact No.:,6265 5826
Name of Managing Agent:,CBRE Pte Ltd
Managing Agent Contact No.:,65365001
MCST No:,4571
UEN:,T17MC0109L
Date of MC Constitution:,23/12/2017
Development Name:,ECO
Status:,Active
Development Location:,257 BEDOK SOUTH AVENUE 3 SINGAPORE 465482
MC Address:,"277 BEDOK SOUTH AVENUE 3
#01-31 ECO
 SINGAPORE 465457"
MC Contact No.:,62555652
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4572
UEN:,T19MC0011A
Date of MC Constitution:,22/04/2019
Development Name:,KINGSFORD HILLVIEW PEAK
Status:,Active
Development Location:,103 HILLVIEW RISE SINGAPORE 667982
MC Address:,"103 HILLVIEW RISE
#B1-10 KINGSFORD HILLVIEW PEAK 
 SINGAPORE 667982"
MC Contact No.:,67691208
Name of Managing Agent:,Rhodo Property & Estate Management Services Pte Ltd
Managing Agent Contact No.:,6769 1208
MCST No:,4573
UEN:,T17MC0076A
Date of MC Constitution:,06/09/2017
Development Name:,JADE RESIDENCES
Status:,Active
Development Location:,1  LEW LIAN VALE SINGAPORE 537016
MC Address:,"3 LEW LIAN VALE
#01-38 JADE RESIDENCES
 SINGAPORE 537017"
MC Contact No.:,6384 2981
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4574
UEN:,T17MC0105E
Date of MC Constitution:,07/12/2017
Development Name:,WATERFRONT@FABER
Status:,Active
Development Location:,18 FABER WALK SINGAPORE 128978
MC Address:,"48 FABER WALK
#B1-25 WATERFRONT @ FABER 

 SINGAPORE 128993"
MC Contact No.:,92959061
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,92959061
MCST No:,4575
UEN:,T18MC0004A
Date of MC Constitution:,05/01/2018
Development Name:,BELLEWATERS EC
Status:,Active
Development Location:,11 ANCHORVALE CRESCENT SINGAPORE 544649
MC Address:,"31 ANCHORVALE CRESCENT
#00-00 BELLEWATERS EC
 SINGAPORE 544659"
MC Contact No.:,65840301
Name of Managing Agent:,Landsfield Property Consultants Pte Ltd
Managing Agent Contact No.:,65840301
MCST No:,4576
UEN:,T18MC0014F
Date of MC Constitution:,10/02/2018
Development Name:,GUILLEMARD SUITES
Status:,Active
Development Location:,213 GUILLEMARD ROAD SINGAPORE 399733
MC Address:,"213 GUILLEMARD ROAD
GUILLEMARD SUITES
 SINGAPORE 399733"
MC Contact No.:,62652833
Name of Managing Agent:,NOUVELLE PROPERTY MANAGEMENT SOLUTIONS PTE LTD
Managing Agent Contact No.:,82883816
MCST No:,4577
UEN:,T18MC0026C
Date of MC Constitution:,16/04/2018
Development Name:,ASCENT@456
Status:,Active
Development Location:,456 BALESTIER ROAD SINGAPORE 329832
MC Address:,"456 BALESTIER ROAD
#01-06 ASCENT@456
 SINGAPORE 329832"
MC Contact No.:,90043488
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,90043488
MCST No:,4578
UEN:,T17MC0101K
Date of MC Constitution:,04/12/2017
Development Name:,SUNNYVALE RESIDENCES
Status:,Active
Development Location:,132 LORONG K TELOK KURAU SINGAPORE 425790
MC Address:,"132 LORONG K TELOK KURAU
#01-01 SUNNYVALE RESIDENCES
 SINGAPORE 425790"
MC Contact No.:,64685100
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,64685100
MCST No:,4579
UEN:,T17MC0106A
Date of MC Constitution:,11/12/2017
Development Name:,STRATUM
Status:,Active
Development Location:,104 ELLIOT ROAD SINGAPORE 519957
MC Address:,"98 ELIAS ROAD
#01-61 STRATUM
 SINGAPORE 519954"
MC Contact No.:,63866411
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,6223 0169
MCST No:,4580
UEN:,T18MC0022H
Date of MC Constitution:,27/03/2018
Development Name:,THE TRILINQ
Status:,Active
Development Location:,28 JALAN LEMPENG SINGAPORE 128807
MC Address:,"28C JALAN LEMPENG
THE TRILINQ
 SINGAPORE 128810"
MC Contact No.:,62645870
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4581
UEN:,T18MC0088C
Date of MC Constitution:,18/12/2018
Development Name:,WAVE9
Status:,Active
Development Location:,71 WOODLANDS INDUSTRIAL PARK E9 SINGAPORE 757048
MC Address:,"71 WOODLANDS INDUSTRIAL PARK E9
#01-03 WAVE9
 SINGAPORE 757048"
MC Contact No.:,62666055
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4582
UEN:,T18MC0005H
Date of MC Constitution:,08/01/2018
Development Name:,SPOTTISWOODE SUITES
Status:,Active
Development Location:,16 SPOTTISWOODE PARK ROAD SINGAPORE 088661
MC Address:,"16 SPOTTISWOODE PARK ROAD
#04-01 SPOTTISWOODE SUITES
 SINGAPORE 088661"
MC Contact No.:,6909 3527
Name of Managing Agent:,Rhodo Strata Management Services Pte Ltd
Managing Agent Contact No.:,65333375
MCST No:,4583
UEN:,T18MC0039G
Date of MC Constitution:,21/06/2018
Development Name:,THE VALES
Status:,Active
Development Location:,87 ANCHORVALE CRESCENT SINGAPORE 544628
MC Address:,"87 ANCHORVALE CRESCENT
#B1-37 THE VALES
 SINGAPORE 544628"
MC Contact No.:,67022401
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,6702 2401
MCST No:,4584
UEN:,T17MC0094H
Date of MC Constitution:,06/11/2017
Development Name:,Aura 83
Status:,Active
Development Location:,83 DUKU ROAD SINGAPORE 429247
MC Address:,"540 SIMS AVENUE
#03-06 SIMS AVENUE CENTRE
 SINGAPORE 387603"
MC Contact No.:,68421731
Name of Managing Agent:,Landsfield Property Consultants Pte Ltd
Managing Agent Contact No.:,6842 1731
MCST No:,4585
UEN:,T18MC0007L
Date of MC Constitution:,19/01/2018
Development Name:,Vue 8 Residence
Status:,Active
Development Location:,83 PASIR RIS HEIGHTS SINGAPORE 519283
MC Address:,"95 PASIR RIS HEIGHTS
CLUBHOUSE / MANAGEMENT OFFICE
 SINGAPORE 519289"
MC Contact No.:,63852688
Name of Managing Agent:,Empire City Consultant Pte Ltd
Managing Agent Contact No.:,63852688
MCST No:,4586
UEN:,T18MC0042G
Date of MC Constitution:,16/07/2018
Development Name:,RIVERTREES RESIDENCES
Status:,Active
Development Location:,21 FERNVALE CLOSE SINGAPORE 797460
MC Address:,"23 FERNVALE CLOSE
#01-08 RIVERTREES RESIDENCES
 SINGAPORE 797461"
MC Contact No.:,66340963
Name of Managing Agent:,Knight Frank Property Asset Management Pte Ltd
Managing Agent Contact No.:,68485678
MCST No:,4587
UEN:,T18MC0023D
Date of MC Constitution:,04/04/2018
Development Name:,PROXIMA@GAMBAS
Status:,Active
Development Location:,
MC Address:,
MC Contact No.:,62656809
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,62656809
MCST No:,4588
UEN:,T17MC0104J
Date of MC Constitution:,07/12/2017
Development Name:,NORDCOM ONE
Status:,Active
Development Location:,
MC Address:,
MC Contact No.:,62671103
Name of Managing Agent:,CBRE Pte Ltd
Managing Agent Contact No.:,6224 8181
MCST No:,4589
UEN:,T17MC0110H
Date of MC Constitution:,27/12/2017
Development Name:,LIV ON SOPHIA
Status:,Active
Development Location:,14 ADIS ROAD SINGAPORE 229977
MC Address:,"38C JALAN PEMIMPIN
#03-01 
 SINGAPORE 577180"
MC Contact No.:,62230169
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,62230169
MCST No:,4590
UEN:,T17MC0107H
Date of MC Constitution:,11/12/2017
Development Name:,ASPEN LINQ
Status:,Active
Development Location:,15 INSTITUTION HILL SINGAPORE 239669
MC Address:,"15 INSTITUTION HILL
ASPEN LINQ
 SINGAPORE 239669"
MC Contact No.:,65333375
Name of Managing Agent:,Rhodo Property & Estate Management Services Pte Ltd
Managing Agent Contact No.:,84085542
MCST No:,4591
UEN:,T21MC0007A
Date of MC Constitution:,08/03/2021
Development Name:,ALIAS VILLAS
Status:,Active
Development Location:,
MC Address:,"11 BEACH ROAD
05-01 
 SINGAPORE 189675"
MC Contact No.:,68831114
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4593
UEN:,T18MC0043C
Date of MC Constitution:,18/07/2018
Development Name:,WANDERVALE
Status:,Active
Development Location:,351 CHOA CHU KANG AVENUE 3 SINGAPORE 689879
MC Address:,"349 CHOA CHU KANG AVENUE 3

 SINGAPORE 689878"
MC Contact No.:,90038880
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,64621550
MCST No:,4594
UEN:,T17MC0108D
Date of MC Constitution:,13/12/2017
Development Name:,New Futura
Status:,Active
Development Location:,14 LEONIE HILL ROAD SINGAPORE 239193
MC Address:,"14 LEONIE HILL ROAD
#B1-01 NEW FUTURA
 SINGAPORE 239193"
MC Contact No.:,67348572
Name of Managing Agent:,Edmund Tie & Company Property Management Services Pte Ltd
Managing Agent Contact No.:,64179222
MCST No:,4595
UEN:,T18MC0019H
Date of MC Constitution:,28/02/2018
Development Name:,FLORAVILLE
Status:,Active
Development Location:,2 CACTUS ROAD SINGAPORE 809578
MC Address:,"2 CACTUS ROAD
#01-09 
FLORAVILLE
 SINGAPORE 809578"
MC Contact No.:,91875521
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,91875521
MCST No:,4596
UEN:,T18MC0002J
Date of MC Constitution:,04/01/2018
Development Name:,d'Nest
Status:,Active
Development Location:,127 PASIR RIS GROVE SINGAPORE 518178
MC Address:,"137 PASIR RIS GROVE
#B1-34 D'NEST
 SINGAPORE 518133"
MC Contact No.:,63845249
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,4597
UEN:,T18MC0081J
Date of MC Constitution:,11/09/2018
Development Name:,FLORAVIEW & FLORAVISTA
Status:,Active
Development Location:,
MC Address:,"7 ANG MO KIO STREET 66
#01-29 FLORAVIEW & FLORAVISTA
 SINGAPORE 567708"
MC Contact No.:,8876-6892
Name of Managing Agent:,Landsfield Property Consultants Pte Ltd
Managing Agent Contact No.:,88766892
MCST No:,4598
UEN:,T18MC0050J
Date of MC Constitution:,08/08/2018
Development Name:,MEYER MELODIA
Status:,Active
Development Location:,2B MEYER PLACE SINGAPORE 437997
MC Address:,"46 EAST COAST ROAD
#05-06 EASTGATE
 SINGAPORE 428766"
MC Contact No.:,63452117
Name of Managing Agent:,Total Estate Management Services Pte Ltd
Managing Agent Contact No.:,63452117
MCST No:,45994599S
UEN:,T18MC0029B
Date of MC Constitution:,04/05/2018
Development Name:,THE SCOTTS TOWER
Status:,Active
Development Location:,38 SCOTTS ROAD SINGAPORE 228240
MC Address:,"38 SCOTTS ROAD, 
#B1-01, THE SCOTTS TOWER, 
SINGAPORE 228240"
MC Contact No.:,6341 9043
Name of Managing Agent:,Raffles Strata Management Pte Ltd
Managing Agent Contact No.:,
MCST No:,4600
UEN:,T18MC0027X
Date of MC Constitution:,17/04/2018
Development Name:,ONE DUCHESS
Status:,Active
Development Location:,1 DUCHESS ROAD SINGAPORE 268977
MC Address:,"60 KAKI BUKIT PLACE
#02-10 EUNOS TECHPARK
 SINGAPORE 415979"
MC Contact No.:,64411184
Name of Managing Agent:,A4 International Pte Ltd
Managing Agent Contact No.:,64411184
MCST No:,4601
UEN:,T18MC0033J
Date of MC Constitution:,24/05/2018
Development Name:,OUE Downtown
Status:,Active
Development Location:,6A SHENTON WAY SINGAPORE 068815
MC Address:,"6 SHENTON WAY
#06-01 OUE DOWNTOWN
 SINGAPORE 068809"
MC Contact No.:,65139733
Name of Managing Agent:,Jones Lang LaSalle Property Consultants Pte Ltd
Managing Agent Contact No.:,65139733
MCST No:,4602
UEN:,T18MC0090G
Date of MC Constitution:,28/12/2018
Development Name:,PARC LIFE
Status:,Active
Development Location:,35 SEMBAWANG CRESCENT SINGAPORE 756985
MC Address:,"35 SEMBAWANG CRESCENT
#01-31 PARC LIFE
 SINGAPORE 756985"
MC Contact No.:,64838100
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,64838100
MCST No:,4603
UEN:,T18MC0009C
Date of MC Constitution:,31/01/2018
Development Name:,OXLEY TOWER
Status:,Active
Development Location:,138 ROBINSON ROAD SINGAPORE 068906
MC Address:,"138 ROBINSON ROAD
#01-09 OXLEY TOWER
 SINGAPORE 068906"
MC Contact No.:,97505669
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,68861936
MCST No:,4604
UEN:,T18MC0025G
Date of MC Constitution:,10/04/2018
Development Name:,THE FLOW MALL
Status:,Active
Development Location:,66 EAST COAST ROAD SINGAPORE 428778
MC Address:,"66 EAST COAST ROAD
#01-07 THE FLOW MALL
 SINGAPORE 428778"
MC Contact No.:,90176621
Name of Managing Agent:,Ocean IFM Pte Ltd
Managing Agent Contact No.:,68861936
MCST No:,4605
UEN:,T18MC0003E
Date of MC Constitution:,04/01/2018
Development Name:,GARDEN PARK RESIDENCES
Status:,Active
Development Location:,25 LORONG M TELOK KURAU SINGAPORE 425310
MC Address:,"105 SIMS AVENUE
#08-04 CHANCERLODGE COMPLEX 
 SINGAPORE 387429"
MC Contact No.:,89075988
Name of Managing Agent:,CORPORATE REAL ESTATE MANAGEMENT SERVICES PTE LTD
Managing Agent Contact No.:,89075988
MCST No:,4607
UEN:,T18MC0047J
Date of MC Constitution:,08/02/2018
Development Name:,WESTWOOD RESIDENCES
Status:,Active
Development Location:,180 WESTWOOD AVENUE SINGAPORE 648151
MC Address:,"192 WESTWOOD AVENUE
#B1-26 WESTWOOD RESIDENCES
 SINGAPORE 648151"
MC Contact No.:,62660501
Name of Managing Agent:,Newman & Goh Property Consultants Pte Ltd
Managing Agent Contact No.:,62660501
MCST No:,4608
UEN:,T18MC0073G
Date of MC Constitution:,05/10/2018
Development Name:,2CONNECTTS@TS
Status:,Active
Development Location:,2 PEREIRA ROAD SINGAPORE 368024
MC Address:,"2 PEREIRA ROAD
#08-01 2CONNECTTS@TS
 SINGAPORE 368024"
MC Contact No.:,98398062
Name of Managing Agent:,CRANES REAL ESTATE PTE LTD
Managing Agent Contact No.:,98398062
MCST No:,4609
UEN:,T18MC0016J
Date of MC Constitution:,19/02/2018
