MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
1432,S89MC1432A,27/02/1989,THE 101,Active,101 BEACH ROAD SINGAPORE 189703,"101 BEACH ROAD
THE 101
 SINGAPORE 189703",62747305,Camrie Project and Estate Management,62747305
1433,S89MC1433H,01/03/1989,KIMSIA COURT,Active,1 JALAN JINTAN SINGAPORE 229001,"125A LORONG 2 TOA PAYOH
#02-134 KIMSIA COURT
 SINGAPORE 311125",62569333,Newman & Goh Property Consultants Pte Ltd,62569333
1434,S89MC1434D,02/03/1989,SOPHIA VILLE (In Liquidation),Active,128 SOPHIA ROAD SINGAPORE 228184,"460 SIMS AVENUE

 SINGAPORE 387601",67443551,,
1435,S89MC1435L,03/03/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1435,Active,9C LORONG 4 GEYLANG SINGAPORE 399267,"9 LORONG 4 GEYLANG

 SINGAPORE 399267",,,
1436,S89MC1436G,04/03/1989,HONG HENG GARDENS,Active,33 SEMBAWANG ROAD SINGAPORE 779084,"33 SEMBAWANG CLOSE
#02-08 HONG HENG GARDENS
 SINGAPORE 779084",62218288,SRE Global Pte Ltd,62218288
1437,S89MC1437C,08/03/1989,WATTEN ESTATE PHASE 5,Terminated,134 WATTEN ESTATE ROAD SINGAPORE 287601,"14 SCOTTS ROAD
#6-0 FAR EAST PLAZA
 SINGAPORE 228213",62352411,NIL,
1438,S89MC1438K,09/03/1989,,Terminated,,,,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD,62218288
1439,S89MC1439F,11/03/1989,,Terminated,43 OXLEY ROAD SINGAPORE 238632,"10 ANSON ROAD
#09-12 INTERNATIONAL PLAZA
 SINGAPORE 079903",62204300,TIAN TECK REALTY PTE LTD,62204300
1440,S89MC1440C,23/03/1989,SIM LIM SQUARE,Active,1 ROCHOR CANAL ROAD SINGAPORE 188504,"1 ROCHOR CANAL ROAD
#B2-01 SIM LIM SQUARE
 SINGAPORE 188504",63383859,Savills Property Management Pte Ltd,67368127
1441,S89MC1441K,29/03/1989,FALCON CREST (Terminated),Terminated,5 DRAYCOTT DRIVE SINGAPORE 259420,"5 DRAYCOTT DRIVE
#-1 FALCON CREST
 SINGAPORE 259420",62211313,COLLIERS INTERNATIONAL ASSET MANAGEMENT PTE LTD,62211313
1442,S89MC1442F,05/04/1989,,Terminated,162/A/B RANGOON ROAD SINGAPORE 218434,"162 RANGOON ROAD

 SINGAPORE 218435",92221838,NIL,
1443,S89MC1443B,08/04/1989,THE MERGUI,Terminated,239 RANGOON ROAD SINGAPORE 218468,"239 SENOKO ROAD
THE MERGUI
 SINGAPORE 218468",66653880,Propmag Management Services Pte Ltd,66653880
1444,S89MC1444J,24/04/1989,ASIMONT @ BARKER,Terminated,9 ASIMONT LANE SINGAPORE 309948,"9 ASIMONT LANE
#B1-01 ASIMONT @ BARKER
 SINGAPORE 309948",64111678,Chamber Property Management Services Pte Ltd,64111678
1445,S89MC1445E,25/04/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1445,Active,24D VERDUN ROAD SINGAPORE 207282,"60 STURDEE ROAD
#10-01 
 SINGAPORE 207851",62947114,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1446,S89MC1446A,26/04/1989,KING GEORGE'S BUILDING,Active,342/B/C/D KING GEORGES AVENUE SINGAPORE 208576,"2 KALLANG AVENUE
#07-32 CT HUB 
 SINGAPORE 339407",62915355,Wisely 98 Pte Ltd,62915355
1447,S89MC1447H,28/04/1989,REGENCY PARK,Active,3 NATHAN ROAD SINGAPORE 248726,"11A NATHAN ROAD
#02-00 REGENCY PARK
 SINGAPORE 248733",62358764,Savills Property Management Pte Ltd,62358764
1448,S89MC1448D,09/05/1989,,Terminated,,,,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342
1449,S89MC1449L,05/12/1989,CASA FLORA,Active,21 SALAM WALK SINGAPORE 467169,"38C JALAN PEMIMPIN
#03-01 BOSCH BUILDING
 SINGAPORE 577180",6223 0169,Smart Property Management (Singapore) Pte Ltd,6223 0169
1450,S89MC1450H,15/05/1989,GOLDEN LANDMARK,Active,390 VICTORIA STREET SINGAPORE 188061,"390 VICTORIA STREET
#03-24 GOLDEN LANDMARK SHOPPING COMPLEX
 SINGAPORE 188061",68336609,Smart Property Management (S) Pte Ltd,62230169
1451,S89MC1451D,20/05/1989,,Terminated,47 MANGIS ROAD SINGAPORE 424977,"45 MANGIS ROAD

 SINGAPORE 424976",63445250,ORCHARD MAINTENANCE PTE LTD,62352411
1452,S89MC1452L,20/05/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1452,Active,373/A/B BALESTIER ROAD SINGAPORE 328789,"389 BALESTIER ROAD

 SINGAPORE 329796",62538288,NIL,
1453,S89MC1453G,22/05/1989,KILAT 19,Active,19 LORONG KILAT SINGAPORE 598120,"19 LORONG KILAT
KILAT 19
 SINGAPORE 598120",98411441,Landsfield Property Management Pte Ltd,98411441
1454,S89MC1454C,31/05/1989,STILL 123,Active,123 LANGSAT ROAD SINGAPORE 426775,"123 LANGSAT ROAD
#01-01 STILL 123
 SINGAPORE 426775",62230169,Smart Property Management (Singapore) Pte Ltd,62230169
1455,S89MC1455K,07/06/1989,LIAN HUAT BUILDING,Active,163 TRAS STREET SINGAPORE 79024,"163 TRAS STREET
#11-0 LIAN HUAT BUILDING
 SINGAPORE 79024",62228313,LIAN HUAT & CO PTE LTD,62228313
1456,S89MC1456F,26/06/1989,KOVAN LODGE,Active,51A KOVAN ROAD SINGAPORE 548135,"51A KOVAN ROAD
#01-01 KOVAN LODGE
 SINGAPORE 548135",62211313,Property Facility Serivces Pte Ltd,62211313
1457,S89MC1457B,28/06/1989,,Terminated,28 LORONG 26 GEYLANG SINGAPORE 398495,"26 TAI SENG STREET
#07-01 MJM CAPITAL PTE LTD
 SINGAPORE 534057",63097139,,
1458,S89MC1458J,06/07/1989,INTERNATIONAL FACTORS BUILDING (Terminated),Terminated,,,,MCST,
1459,S89MC1459E,07/07/1989,MARINE VIEW MANSIONS,Active,97 MARINE PARADE ROAD SINGAPORE 449273,"46 EAST COAST ROAD
#05-06 EASTGATE
 SINGAPORE 428766",63452117,Total Estate Management Services Pte Ltd,63452117
1460,S89MC1460B,10/07/1989,Nil,Active,148A JOO CHIAT TERRACE SINGAPORE 427291,"148 JOO CHIAT TERRACE

 SINGAPORE 427291",97117200,,
1461,S89MC1461J,10/07/1989,,Terminated,18B LORONG 106 CHANGI SINGAPORE 426484,"18 LORONG 106 CHANGI

 SINGAPORE 426484",,MCST,
1462,S89MC1462E,25/07/1989,PACIFIC MANSION (termination),Terminated,8 RIVER VALLEY CLOSE SINGAPORE 238432,"8 
#B1-02 PACIFIC MANSION
 SINGAPORE 238432",67347496,Chambers Property Management Services Pte Ltd,64685100
1463,S89MC1463A,26/08/1989,THE WINDSOR,Active,9A ONTARIO AVENUE SINGAPORE 576192,"9A ONTARIO AVENUE
#02-01 THE WINDSOR
 SINGAPORE 576200",64588513,,
1464,S89MC1464H,28/08/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1464,Active,137B HAIG ROAD SINGAPORE 438767,"137 HAIG ROAD

 SINGAPORE 438767",,N,
1465,S89MC1465D,11/09/1989,DE ANGELO,Terminated,22 JALAN DATOH SINGAPORE 329417,"22 JALAN DATOH
#01-01 DE ANGELO
 SINGAPORE 329417",97353423,,
1466,S89MC1466L,11/09/1989,ST. MARTIN'S APARTMENTS,Active,1 ST. MARTINS DRIVE SINGAPORE 257988,"125A LORONG 2 TOA PAYOH
#02-134 
 SINGAPORE 311125",62569333,,
1467,S89MC1467G,11/09/1989,HILLSIDE GARDENS,Terminated,78 HILLSIDE DRIVE SINGAPORE 549024,"78 HILLSIDE DRIVE
HILLSIDE GARDENS
 SINGAPORE 549024",,,
1468,S89MC1468C,13/09/1989,AU JIANG APARTMENTS.,Terminated,15 MEYAPPA CHETTIAR ROAD SINGAPORE 358458,"531 UPPER CROSS STREET
#03-52 HONG LIM COMPLEX
 SINGAPORE 050531",65333375,Rhodo Property & Estate Management Services Pte Ltd,65333375
1469,S89MC1469K,15/09/1989,,Terminated,,,,RHODO PROPERTY & ESTATE MANAGEMENT SERVICES PTE LTD,65333375
1470,S89MC1470G,15/09/1989,Management Corporation Strata Title 1470,Active,37E EVERITT ROAD SINGAPORE 428590,"37E EVERITT ROAD

 SINGAPORE 428590",96204683,,
1471,S89MC1471C,26/09/1989,WISMA ATRIA,Active,435 ORCHARD ROAD SINGAPORE 238877,"391B ORCHARD ROAD
#21-08 NGEE ANN CITY TOWER B
 SINGAPORE 238874",68387131,YTL STARHILL GLOBAL PROPERTY MANAGEMENT PTE LTD,68387131
1472,S89MC1472K,10/10/1989,EASTERN MANSION,Terminated,1 JALAN KECHIL SINGAPORE 438468,"RAFFLES QUAY

 SINGAPORE",62207535,KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD,62207535
1473,S89MC1473F,24/10/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1473,Active,18 FLOWER ROAD SINGAPORE 549406,"18 FLOWER ROAD

 SINGAPORE 549406",62852466,,
1474,S89MC1474B,30/10/1989,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1474,Active,8A JALAN ISMAIL SINGAPORE 419260,"4 FRANKEL WALK

 SINGAPORE 457996",65435895,,
1475,S89MC1475J,04/11/1989,ADIS VILLAS,Terminated,12 ADIS ROAD SINGAPORE 229976,"12 ADIS ROAD
ADIS VILLAS
 SINGAPORE 229976",62957168,ACE ACRES PTE LTD,62957168
1476,S89MC1476E,08/11/1989,TANGLIN PARK,Active,1B RIDLEY PARK SINGAPORE 248471,"3A RIDLEY PARK
#01-01 TANGLIN PARK
 SINGAPORE 248472",64740841,Colliers International Consultancy & Valuation (S) Pte Ltd,64740841
1477,S89MC1477A,09/11/1989,THE SHELFORD RESIDENCES,Terminated,25/A/B/C/D SHELFORD ROAD SINGAPORE 288415,"190 CLEMENCEAU AVENUE
#5-1 SINGAPORE SHOPPING CENTRE
 SINGAPORE 239924",63346833,DAWSON PROPERTY MANAGEMENT PTE LTD,63389883
1478,S89MC1478H,17/11/1989,CHANCERY CORNER,Active,8A CHANCERY LANE SINGAPORE 309495,"8A CHANCERY LANE
#02-04 CHANCERY CORNER
 SINGAPORE 309495",62997122,,
1479,S89MC1479D,04/12/1989,UPPER SERANGOON SHOPPING CENTRE,Active,756 UPPER SERANGOON ROAD SINGAPORE 534626,"756 UPPER SERANGOON ROAD
#02-39A UPPER SERANGOON SHOPPING CENTRE
 SINGAPORE 534626",62845479,SRE Management Services Pte Ltd,66653880
1480,S89MC1480A,04/12/1989,,Terminated,38D LORONG M TELOK KURAU SINGAPORE 425317,"38 LORONG M TELOK KURAU

 SINGAPORE 425317",62257644,,
1481,S89MC1481H,23/12/1989,POH LIAN BUILDING,Terminated,93 KOVAN ROAD SINGAPORE 548179,"50 RAFFLES PLACE
#11-02 SINGAPORE LAND TOWER
 SINGAPORE 048623",,NIL,
1482,S89MC1482D,30/12/1989,KATONG PARK TOWERS (Terminated),Terminated,114A ARTHUR ROAD SINGAPORE 439826,"114A ARTHUR ROAD
#01-01 KATONG PARK TOWERS
 SINGAPORE 439826",63458363,Propmag Management Services Pte Ltd,66653880
1483,S90MC1483B,04/01/1990,LOYANG LODGE,Terminated,209N JALAN LOYANG BESAR SINGAPORE 509492,"1 ROBINSON ROAD
#21-1 
 SINGAPORE 048542",,MCST,
1484,S90MC1484J,10/01/1990,H J HEIGHTS,Terminated,3 MERBOK CRESCENT SINGAPORE 597665,"11 MERBOK CRESCENT
H J HEIGHTS
 SINGAPORE 597668",62104379,CAPITAL INTERNATIONAL ASSET MANAGEMENT PTE LTD,62211313
1485,S90MC1485E,11/01/1990,,Terminated,,,,CAPITAL INTERNATIONAL ASSET MANAGEMENT PTE LTD,62211313
1486,S90MC1486A,12/01/1990,11/A/B/C MATTAR ROAD,Active,11C MATTAR ROAD SINGAPORE 387720,"9A  SUNGEI KADUT WAY

 SINGAPORE 728779",63653248,,
1487,S90MC1487H,15/01/1990,VIEWPOINT CONDO,Terminated,,,,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141
1488,S90MC1488D,17/01/1990,JIYAH GARDENS,Terminated,,,,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141
1489,S90MC1489L,18/01/1990,CARDIFF COURT,Terminated,101 CARDIFF GROVE SINGAPORE 558962,"531 UPPER CROSS STREET
#3-52 HONG LIM COMPLEX
 SINGAPORE 50531",65333375,RHODO PROPERTY & ESTATE MANAGEMENT SERVICES PTE LTD,65333376
1490,S90MC1490H,26/01/1990,,Terminated,233E TEMBELING ROAD SINGAPORE 423718,"233E TEMBELING ROAD

 SINGAPORE 423718",62477085,Landsfield Property Consultants Pte Ltd,68421731
1491,S90MC1491D,31/01/1990,MERGUI LODGE,Terminated,101 MERGUI ROAD SINGAPORE 219067,"101 MERGUI ROAD
MERGUI LODGE
 SINGAPORE 219067",66653880,Propmag Management Services Pte Ltd,66653880
1492,S90MC1492L,05/02/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1492,Active,27 YONG SIAK STREET SINGAPORE 168654,"27 YONG SIAK STREET

 SINGAPORE 168654",96723819,,
1493,S90MC1493G,06/02/1990,FLAMINGO VALLEY,Terminated,,"464 SIGLAP ROAD
#2-1 FLAMINGO VALLEY
 SINGAPORE 455941",64420729,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1494,S90MC1494C,06/02/1990,,Terminated,112 LAVENDER STREET SINGAPORE 338728,"180 PAYA LEBAR ROAD
#09-06 
 SINGAPORE 409032",62963250,,
1495,S90MC1495K,10/02/1990,STAR MANSIONS,Terminated,1A SURREY ROAD SINGAPORE 307741,"1A SURREY ROAD
STAR MANSION
 SINGAPORE 307748",62232323,COLLIERS INTERNATIONAL CONSULTANCY & VALUATION (S) PTE LTD,62232323
1496,S90MC1496F,13/02/1990,( Single Owner),Active,62 MOONSTONE LANE SINGAPORE 238487,"62 MOONSTONE LANE

 SINGAPORE 532848",96193522,NIL,
1497,S90MC1497B,26/02/1990,YINCHUAN BUILDING,Active,4C LORONG 29 GEYLANG SINGAPORE 388059,"6 NEW INDUSTRIAL ROAD
#08-01 NEW CENTURY
 SINGAPORE 536199",62895255,,
1498,S90MC1498J,26/02/1990,LAM THONG BUILDING,Active,11 LORONG 21A GEYLANG SINGAPORE 388429,"11 LORONG 21A GEYLANG

 SINGAPORE 388429",67460266,NIL,
1499,S90MC1499E,27/02/1990,J  COURT,Active,10A LORONG J TELOK KURAU SINGAPORE 425796,"100 LORONG J TELOK KURAU

 SINGAPORE 425796",96312253,,
1500,S90MC1500J,01/03/1990,20 COLLYER QUAY,Active,20 COLLYER QUAY SINGAPORE 49319,"20 COLLYER QUAY
#06-00 20 COLLYER QUAY
 SINGAPORE 049319",62252977,Savills Property Management Pte Ltd,67368127
1501,S90MC1501E,03/06/1990,MAKEWAY VIEW,Terminated,2 MAKEWAY AVENUE SINGAPORE 228599,"2 
#01-01 MAKEWAY VIEW
 SINGAPORE 228599",68861936,Ocean IFM Pte Ltd,68861936
1502,S90MC1502A,08/03/1990,WENG GARDENS (Terminated),Terminated,,,,DICKSON PROPERTY CONSULTANTS PTE LTD,63345565
1503,S90MC1503H,12/03/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1503,Active,35A LORONG KILAT SINGAPORE 598134,"35 LORONG KILAT

 SINGAPORE 598134",64689333,,
1504,S90MC1504D,17/03/1990,KILAT CENTRE,Active,33 LORONG KILAT SINGAPORE 598132,"33 LORONG KILAT
KILAT CENTRE 
 SINGAPORE 598132",68411535,Pacific Property Management Pte Ltd,68411535
1505,S90MC1505L,19/03/1990,,Terminated,19 EVELYN ROAD SINGAPORE 309308,"EVELYN ROAD

 SINGAPORE",,nil,
1506,S90MC1506G,19/03/1990,KOON SENG COURT,Active,117B KOON SENG ROAD SINGAPORE 427049,"61 TAI SENG AVENUE
#05-13 
 SINGAPORE 534167",96269470,,
1507,S90MC1507C,26/03/1990,,Active,23B TEO HONG ROAD SINGAPORE 88332,"TEO HONG ROAD

 SINGAPORE 88332",63231802,MCST,
1508,S90MC1508K,26/03/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1508,Active,25B TEO HONG ROAD SINGAPORE 88333,"TEO HONG ROAD

 SINGAPORE 88333",62211355,,
1509,S90MC1509F,26/03/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO.1509,Active,27B TEO HONG ROAD SINGAPORE 88334,"TEO HONG ROAD

 SINGAPORE 88334",62220258,nil,
1510,S90MC1510C,26/03/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1510,Active,29B TEO HONG ROAD SINGAPORE 88335,"50 AMBER ROAD
#10-1 AMBER LODGE
 SINGAPORE 439888",63447663,nil,
1511,S90MC1511K,26/03/1990,,Terminated,31B TEO HONG ROAD SINGAPORE 88336,"31 TEO HONG ROAD

 SINGAPORE 88336",62228686,nil,
1512,S90MC1512F,30/03/1990,GREENDALE COURT,Active,4A GREENDALE AVENUE SINGAPORE 289499,"7030 ANG MO KIO AVENUE 5
#09-73 NORTHSTAR@AMK
 SINGAPORE 569880",67336845,KIRIN ASSET MANAGEMENT PTE LTD,97975775
1513,S90MC1513B,03/04/1990,ROYALVILLE,Terminated,835 BUKIT TIMAH ROAD SINGAPORE 279888,"839 BUKIT TIMAH ROAD
ROYALVILLE
 SINGAPORE 279890",62232323,,
1514,S90MC1514J,03/04/1990,ROCHALIE DRIVE,Active,8 ROCHALIE DRIVE SINGAPORE 248241,"22 MARTIN ROAD
#03-01 
 SINGAPORE 239058",63378181,,
1515,S90MC1515E,03/04/1990,SOPHIA SERVICE APARTMENTS,Terminated,77 SOPHIA ROAD SINGAPORE 228157,"77 

 SINGAPORE",68652295,NIL,
1516,S90MC1516A,05/04/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1516,Active,10 LORONG 15 GEYLANG SINGAPORE 388603,"21 SIMEI STREET 4
#01-37 DOUBLE BAY RESIDENCES
 SINGAPORE 528717",96797441,,
1517,S90MC1517H,06/04/1990,ORCHARD CREDIT BUILDING,Active,897 OLD HOLLAND ROAD SINGAPORE 278690,"897 OLD HOLLAND ROAD
ORCHARD CREDIT BUILDING
 SINGAPORE 278690",64696000,,
1518,S90MC1518D,17/04/1990,TELOK KURAU RIA,Active,58A LORONG L TELOK KURAU SINGAPORE 425503,"52 LORONG L TELOK KURAU
TELOK KURAU RIA
 SINGAPORE 425498",98469436,,
1519,S90MC1519L,17/04/1990,MIN YUAN APARTMENT,Terminated,62 WATERLOO STREET SINGAPORE 187958,"62 
#02-01 MIN YUAN APARTMENT
 SINGAPORE 187958",63550910,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd),63550910
1520,S90MC1520H,19/04/1990,NATHAN COURT (TERMINATED),Terminated,23 NATHAN ROAD SINGAPORE 248744,"NATHAN ROAD
NATHAN COURT
 SINGAPORE 248744",,MCST,
1521,S90MC1521D,20/04/1990,THE OCTAGON,Active,105 CECIL STREET SINGAPORE 069534,"105 CECIL STREET
#05-00 THE OCTAGON
 SINGAPORE 069534",62210800,CBRE Pte Ltd,62248181
1522,S90MC1522L,05/05/1990,8 ORANGE GROVE,Active,8 ORANGE GROVE ROAD SINGAPORE 258342,"504 JURONG WEST STREET 51
#03-209 8 ORANGE GROVE
 SINGAPORE 640504",67792711,Stature Real Estate Enterprises Pte Ltd,67792711
1523,S90MC1523G,07/05/1990,MANAGEMENT CORPORATION STRATA  TITLE PLAN NO. 1523,Active,151A YIO CHU KANG ROAD SINGAPORE 545598,"149 YIO CHU KANG ROAD

 SINGAPORE 545598",62881494,,
1524,S90MC1524C,08/05/1990,IXORA COURT (To be liquidated ),Terminated,17 EVELYN ROAD SINGAPORE 309306,"RAFFLES QUAY
#26-0 HONG LEONG BUILDING
 SINGAPORE 48581",,JONES LANG LASALLE,62203888
1525,S90MC1525K,08/05/1990,PEPYS HILL CONDOMINIUM,Active,19 PEPYS ROAD SINGAPORE 118450,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",63370087,Earnest Management Services Pte Ltd,63370087
1526,S90MC1526F,11/05/1990,DATOH COURT- ( In liquidation),Terminated,32 JALAN DATOH SINGAPORE 329420,"32 JALAN DATOH
#1-1 DATOH COURT
 SINGAPORE 320420",62513366,ESTALAND PROPERTY ASSOCIATES PTE LTD,62513366
1527,S90MC1527B,11/05/1990,THE SAPPHIRE (enbloc),Terminated,53 JALAN DUSUN SINGAPORE 329374,"53 JALAN DUSUN
#1-1 THE SAPHIRE
 SINGAPORE 329374",62351595,STACE FACILITY MANAGEMENT SERVICES,62531595
1528,S90MC1528J,12/05/1990,,Terminated,2G SWANAGE ROAD SINGAPORE 437174,"767 UPPER SERANGOON ROAD
#02-05 NAM PENG CENTRE
 SINGAPORE 534635",63372020,MCST,
1529,S90MC1529E,12/05/1990,,Active,98B LIM AH WOO ROAD SINGAPORE 438144,"100 LIM AH WOO ROAD

 SINGAPORE 438145",9832 7510,,
1530,S90MC1530B,14/05/1990,FORT APARTMENTS,Terminated,,,,MCST,
1531,S90MC1531J,14/05/1990,GLOBE APARTMENT,Terminated,12A LORONG 7 GEYLANG SINGAPORE 388796,"12 LORONG 7 GEYLANG
GLOBE APARTMENT
 SINGAPORE 388795",67458388,,
1532,S90MC1532E,15/05/1990,WATERLOO APARTMENTS,Active,64 WATERLOO STREET SINGAPORE 187959,"64 WATERLOO STREET
WATERLOO APARTMENTS
 SINGAPORE 187959",64111690,Chambers Property Management Services Pte Ltd,64685100
1533,S90MC1533A,21/05/1990,(Terminated),Terminated,,,,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1534,S90MC1534H,25/05/1990,(Terminated),Terminated,,,,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1535,S90MC1535D,25/05/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1535,Active,180B JOO CHIAT PLACE SINGAPORE 427894,"JOO CHIAT PLACE

 SINGAPORE 427894",67426866,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1536,S90MC1536L,25/05/1990,MANAGEMNET CORPORATION STRATA TITLE PLAN NO. 1536,Active,182B JOO CHIAT PLACE SINGAPORE 427895,"182 JOO CHIAT PLACE

 SINGAPORE 427895",,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1537,S90MC1537G,25/05/1990,MANAGEMENT CORPORATION TITLE PLAN NO. 1537,Active,178A JOO CHIAT PLACE SINGAPORE 427893,"JOO CHIAT PLACE

 SINGAPORE 427893",63488411,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1538,S90MC1538C,25/05/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1538,Active,176B JOO CHIAT PLACE SINGAPORE 427892,"176/A/B JOO CHIAT PLACE

 SINGAPORE 427892",63487654,,
1539,S90MC1539K,25/05/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1539,Active,184B JOO CHIAT PLACE SINGAPORE 427896,"236 SERANGOON AVENUE 3
#10-88 
 SINGAPORE 550236",62803419,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1540,S90MC1540G,25/05/1990,ST. THOMAS LODGE,Active,32 ST. THOMAS WALK SINGAPORE 238112,"3 SHENTON WAY
#21-06 SHENTON HOUSE
 SINGAPORE 068805",62242566,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
1541,S90MC1541C,01/06/1990,38 STEVENS ROAD,Active,38 STEVENS ROAD SINGAPORE 257845,"420 NORTH BRIDGE ROAD
#06-01 NORTH BRIDGE CENTRE
 SINGAPORE 188727",63370087,Earnest Management Services Pte Ltd,63370087
1542,S90MC1542K,02/06/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1542,Active,7 LORONG 9 GEYLANG SINGAPORE 388755,"52A LORONG MARZUKI

 SINGAPORE 417136",,,
1543,S90MC1543F,23/06/1990,,Active,49A KIM CHUAN DRIVE SINGAPORE 537094,"55 LAVENDER STREET

 SINGAPORE 338713",62929292,,
1544,S90MC1544B,23/06/1990,AVENUE PARK (Terminated),Terminated,,"138 CECIL STREET
#16-0 CECIL COURT
 SINGAPORE 69538",63723033,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD,63723033
1545,S90MC1545J,30/06/1990,"MANAGEMENT CORPORATION STRATA TITLE PLAN NO,1545",Active,25B LORONG 17 GEYLANG SINGAPORE 388552,"25 LORONG 17 GEYLANG

 SINGAPORE 388552",,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD,63723033
1546,S90MC1546E,02/07/1990,"MANAGEMENT CORPORATION STRATA TITLE PLAN NO,1546",Active,,"94D UPPER EAST COAST ROAD

 SINGAPORE 455229",64457916,,
1547,S90MC1547A,04/07/1990,YONG SIAK COURT,Active,15 YONG SIAK STREET SINGAPORE 168646,"11-15C YONG SIAK STREET
YONG SIAK COURT
 SINGAPORE 168646",62218288,SRE Global Pte Ltd,62218288
1548,S90MC1548H,06/07/1990,GEMINI APARTMENTS,Active,67 JALAN TUA KONG SINGAPORE 228163,"67 JALAN TUA KONG
GEMINI APARTMENTS
 SINGAPORE 457263",62747305,Camrie Project and Estate Management,62747305
1549,S90MC1549D,07/07/1990,KENSINGTON PARK,Active,2 KENSINGTON PARK DRIVE SINGAPORE 557320,"8 KENSINGTON PARK DRIVE
#01-05 KENSINGTON PARK
 SINGAPORE 557323",62834091,Newman & Goh Property Consultants Pte Ltd,6283 4091
1550,S90MC1550A,09/07/1990,HUA COURT,Terminated,63 PAYA LEBAR CRESCENT SINGAPORE 536139,"63 PAYA LEBAR CRESCENT
#B1-01 HUA COURT
 SINGAPORE 536139",93830363,,
1551,S90MC1551H,30/07/1990,BUONA VISTA GARDENS,Active,2 ZEHNDER ROAD SINGAPORE 117687,"46 EAST COAST ROAD
#05-06 EASTGATE
 SINGAPORE 428766",63452117,,
1552,S90MC1552D,30/07/1990,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 1552,Active,27C LORONG LIPUT SINGAPORE 277738,"21 DALVEY ESTATE

 SINGAPORE 259544",65671775,HBA GROUP PROPERTY CONSULTANTS PTE LTD,63387222
1553,S90MC1553L,03/08/1990,ADVANCE APARTMENTS,Active,8 LORONG 25A GEYLANG SINGAPORE 388222,"8 LORONG 25A GEYLANG
#01-01 ADVANCE APARTMENT 
 SINGAPORE 388222",68861936,Ocean IFM Pte Ltd,68861936
1554,S90MC1554G,13/08/1990,TUDOR COURT (Terminated),Terminated,22 TUDOR CLOSE SINGAPORE 297950,"UPPER SERANGOON ROAD

 SINGAPORE 915425",67336845,KIRIN PROPERTIES & SERVICES,67336845
1555,S90MC1555C,20/08/1990,SOPHIA MANSION,Terminated,14 ADIS ROAD SINGAPORE 229977,"14 ADIS ROAD
SOPHIA MANSION
 SINGAPORE 229977",64497141,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141
1556,S90MC1556K,23/08/1990,LEEDON COURT (Terminated),Terminated,,,,ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD,64497141
1557,S90MC1557F,06/09/1990,HAIG GARDENS,Terminated,,"41 IPOH LANE
HAIG GARDENS
 SINGAPORE 438649",64685100,CHAMBERS PROPERTY MGT SERVICES PTE LTD,64685100
